Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Date,,,,,,,,,,,,,,,,,,
2018-01-02 00:00:00+00:00,40.568931579589844,53.11954879760742,79.79290771484375,43.064998626708984,53.25,85.94999694824219,43.07500076293945,53.34700012207031,86.30999755859375,42.314998626708984,52.26150131225586,85.5,42.540000915527344,52.41699981689453,86.12999725341797,102223600,24752000,22483800
2018-01-03 00:00:00+00:00,40.56186294555664,53.99140930175781,80.16424560546875,43.057498931884766,54.124000549316406,86.3499984741211,43.63750076293945,54.31449890136719,86.51000213623047,42.9900016784668,53.160499572753906,85.97000122070312,43.13249969482422,53.21549987792969,86.05999755859375,118071600,28604000,26061400
2018-01-04 00:00:00+00:00,40.750282287597656,54.18692398071289,80.86984252929688,43.25749969482422,54.31999969482422,87.11000061035156,43.36750030517578,54.67850112915039,87.66000366210938,43.02000045776367,54.20009994506836,86.56999969482422,43.1349983215332,54.400001525878906,86.58999633789062,89738400,20092000,21912000
2018-01-05 00:00:00+00:00,41.2142333984375,54.97648620605469,81.87247467041016,43.75,55.11149978637695,88.19000244140625,43.842498779296875,55.212501525878906,88.41000366210938,43.26250076293945,54.599998474121094,87.43000030517578,43.36000061035156,54.70000076293945,87.66000366210938,94640000,25582000,23407100
2018-01-08 00:00:00+00:00,41.06114959716797,55.21141052246094,81.95598602294922,43.587501525878906,55.34700012207031,88.27999877929688,43.90250015258789,55.563499450683594,88.58000183105469,43.48249816894531,55.08100128173828,87.5999984741211,43.587501525878906,55.11149978637695,88.19999694824219,82271200,20952000,22113000
2018-01-09 00:00:00+00:00,41.05642318725586,55.177490234375,81.90032958984375,43.58250045776367,55.3129997253418,88.22000122070312,43.76499938964844,55.528499603271484,88.7300033569336,43.352500915527344,55.06155014038086,87.86000061035156,43.63750076293945,55.470001220703125,88.6500015258789,86336000,18050000,19484300
2018-01-10 00:00:00+00:00,41.0470085144043,54.99544143676758,81.52897644042969,43.5724983215332,55.13050079345703,87.81999969482422,43.57500076293945,55.22999954223633,88.19000244140625,43.25,54.80550003051758,87.41000366210938,43.290000915527344,54.85499954223633,87.86000061035156,95839600,20856000,18652200
2018-01-11 00:00:00+00:00,41.280174255371094,55.14058303833008,81.77032470703125,43.81999969482422,55.2760009765625,88.08000183105469,43.872501373291016,55.32624816894531,88.12999725341797,43.622501373291016,54.97949981689453,87.23999786376953,43.647499084472656,55.314998626708984,88.12999725341797,74670800,19566000,17808900
2018-01-12 00:00:00+00:00,41.70643997192383,55.97553253173828,83.1814193725586,44.272499084472656,56.112998962402344,89.5999984741211,44.34000015258789,56.214500427246094,89.77999877929688,43.912498474121094,55.057498931884766,88.44999694824219,44.04499816894531,55.12049865722656,88.66999816894531,101672400,34410000,24271500
2018-01-16 00:00:00+00:00,41.49449157714844,55.950599670410156,82.02098083496094,44.04750061035156,56.0880012512207,88.3499984741211,44.84749984741211,56.99549865722656,90.79000091552734,44.03499984741211,55.8916015625,88.01000213623047,44.474998474121094,56.6254997253418,90.0999984741211,118263600,31506000,36599700
2018-01-17 00:00:00+00:00,42.179813385009766,56.46034240722656,83.68275451660156,44.775001525878906,56.5989990234375,90.13999938964844,44.8125,56.630001068115234,90.27999877929688,43.76750183105469,55.85049819946289,88.75,44.037498474121094,56.31100082397461,89.08000183105469,137547200,24052000,25621200
2018-01-18 00:00:00+00:00,42.21750259399414,56.35110855102539,83.6456069946289,44.814998626708984,56.489498138427734,90.0999984741211,45.025001525878906,56.6254997253418,90.66999816894531,44.5625,55.875,89.66000366210938,44.842498779296875,56.570499420166016,89.80000305175781,124773600,23964000,24159700
